date,value
30/6/2006,5.9935
3/7/2006,6.085
5/7/2006,6.005
6/7/2006,6.135
7/7/2006,6.0625
10/7/2006,6.0825
11/7/2006,6.1
12/7/2006,6.07
13/7/2006,6.0025
14/7/2006,6.03
17/7/2006,5.9
18/7/2006,5.89
19/7/2006,5.8575
20/7/2006,5.8425
21/7/2006,5.77
24/7/2006,5.8325
25/7/2006,5.8525
26/7/2006,5.8335
27/7/2006,5.767
28/7/2006,5.81
31/7/2006,5.843
1/8/2006,5.7925
2/8/2006,5.8725
3/8/2006,5.815
4/8/2006,5.82
7/8/2006,5.6725
8/8/2006,5.625
9/8/2006,5.665
10/8/2006,5.6125
11/8/2006,5.5525
14/8/2006,5.5625
15/8/2006,5.565
16/8/2006,5.5225
17/8/2006,5.515
18/8/2006,5.47
21/8/2006,5.4825
22/8/2006,5.4925
23/8/2006,5.5225
24/8/2006,5.515
25/8/2006,5.43
28/8/2006,5.406
29/8/2006,5.426
30/8/2006,5.5025
31/8/2006,5.5305
1/9/2006,5.515
5/9/2006,5.5425
6/9/2006,5.4675
7/9/2006,5.5
8/9/2006,5.48
11/9/2006,5.445
12/9/2006,5.385
13/9/2006,5.405
14/9/2006,5.4525
15/9/2006,5.4975
18/9/2006,5.53
19/9/2006,5.4425
20/9/2006,5.4925
21/9/2006,5.58
22/9/2006,5.4925
25/9/2006,5.45
26/9/2006,5.4675
27/9/2006,5.425
28/9/2006,5.5275
29/9/2006,5.475
2/10/2006,5.4525
3/10/2006,5.425
4/10/2006,5.5525
5/10/2006,5.655
6/10/2006,5.64
9/10/2006,5.745
10/10/2006,5.605
11/10/2006,5.6225
12/10/2006,5.7975
13/10/2006,5.915
16/10/2006,5.89
17/10/2006,6.005
18/10/2006,6.045
19/10/2006,6.08
20/10/2006,6.065
23/10/2006,6.175
24/10/2006,6.235
25/10/2006,6.22
26/10/2006,6.3055
27/10/2006,6.409
30/10/2006,6.4785
31/10/2006,6.4145
1/11/2006,6.5825
2/11/2006,6.6125
3/11/2006,6.6275
6/11/2006,6.6275
7/11/2006,6.6725
8/11/2006,6.78
9/11/2006,6.695
10/11/2006,6.625
13/11/2006,6.575
14/11/2006,6.7125
